experiment,group,metric,n,k,rate,rate_pct,ci95_lo,ci95_hi,ci95_lo_pct,ci95_hi_pct
Exp04_StochasticPi,N=30000,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp04_StochasticPi,N=30000,structural,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S1_noise0,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S1_noise0,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S1_noise0.05,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S1_noise0.05,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S2_noise0,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S2_noise0,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S2_noise0.05,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S2_noise0.05,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S3_noise0,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S3_noise0,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S3_noise0.05,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S3_noise0.05,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S4_noise0,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S4_noise0,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S4_noise0.05,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S4_noise0.05,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S5_noise0,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S5_noise0,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S5_noise0.05,structure_ok,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,S5_noise0.05,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp05_SyntheticRecovery,ALL,structure_ok,150,150,1.0,100.0,0.9750297556319234,1.0000000000000002,97.50297556319234,100.00000000000003
Exp05_SyntheticRecovery,ALL,canonical,150,150,1.0,100.0,0.9750297556319234,1.0000000000000002,97.50297556319234,100.00000000000003
Exp06_Noise,S1_noise0,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0.01,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0.01,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0.02,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0.02,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0.05,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0.05,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0.1,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S1_noise0.1,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0.01,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0.01,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0.02,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0.02,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0.05,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0.05,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0.1,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S2_noise0.1,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
